word,meaning
interesting,interessante
funny,engraçado
especially,especialmente
remember,lembrar
neighborhood,vizinhança
thought,pensou/pensava
on foot,a pé
children,crianças
story,história
together,juntos
cried,chorou
laugh,riso/rir
moved,mudou-se
focus,foco
plan,planejar
beautiful,bonito
prepare,preparar
work,trabalhar
study,estudar
went,foi
ate,comeu
drank,bebeu
lazy,preguiçoso
habit,hábito
currently,atualmente
sleep,dormir
testword,palavra de teste
testword1752779706406,palavra de teste
testword1752779904875,palavra de teste
testword1753221623003,palavra de teste
testword1753221671823,palavra de teste
testword1753222111726,palavra de teste
testword1753222555423,palavra de teste
testword1753223152974,palavra de teste
testword1753223410909,palavra de teste
testword1753224239678,palavra de teste
testword1753224401443,palavra de teste
testword1753224523756,palavra de teste
testword1753224611831,palavra de teste
testword1753224666714,palavra de teste
